,name,review_anger,review_fear,review_joy,review_sadness,review_analytical,review_confident,review_tentative,review_title_anger,review_title_fear,review_title_joy,review_title_sadness,review_title_analytical,review_title_confident,review_title_tentative
40,Bay Shores Yachttennisclub 514 2 Br Condo By Redawning,0.0,0.0,0.8101984,0.0,0.777594,0.7523176666666666,0.6363835,0.0,0.0,0.8346706666666668,0.0,0.0,0.8983270000000001,0.91961
41,Baymont Inn & Suites Griffin,0.0,0.0,0.7537883076923075,0.5776015,0.7309987222222222,0.8966775217391302,0.770994,0.0,0.0,0.7657251176470589,0.667566,0.7321506,0.961633,0.8252408333333334
42,Baymont Inn and Suites Boone,0.6266398333333334,0.6464923333333333,0.6574255365853658,0.6058613076923078,0.7373894166666665,0.7891567368421053,0.7295883,0.635525,0.0,0.7580893125000001,0.6208321666666667,0.815189,0.9708103333333332,0.87185925
43,Baymont Inn and Suites Enid,0.589838,0.506368,0.6874663548387097,0.55577,0.6035333846153846,0.885801611111111,0.8694476666666667,0.6360279999999999,0.0,0.703201909090909,0.0,0.920855,0.9775899999999998,0.8222309999999999
44,Bayside Resort Hotel,0.5209456666666666,0.53453,0.775726669354839,0.5571208181818181,0.6394286764705883,0.8496343396226417,0.780546727272727,0.0,0.50805,0.8007986734693878,0.561044,0.7507618,0.93667875,0.8312763000000001
45,Beach Cove 411 Tower A Sierra's 1 Bedroom Condo By Prista Management,0.0,0.0,0.8046253541666668,0.5930844166666667,0.6813724210526316,0.8223805499999999,0.8113794705882353,0.0,0.0,0.6589214347826086,0.5311349999999999,0.0,0.0,0.8994633333333333
46,Beacon Motel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Bear Cove Inn,0.0,0.0,0.6654221999999999,0.0,0.6161449999999999,0.8623338571428573,0.793955,0.0,0.0,0.7753403333333333,0.0,0.620279,0.0,0.75152
48,Bellaire Motel Lodge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Berkshire By The Sea A Vri Resort,0.0,0.0,0.7646151999999999,0.0,0.5551075,0.798474,0.67942,0.0,0.0,0.7739491428571429,0.0,0.7118869999999999,0.0,0.6816989999999999
50,Berney Fly Bed and Breakfast,0.5093340000000001,0.0,0.7688721388888888,0.0,0.762276,0.7872192499999999,0.7427325714285715,0.0,0.0,0.7944985652173915,0.0,0.8254606000000001,0.9338325999999999,0.8932169999999999
51,Best Western Eufaula Inn,0.72038,0.0,0.703659,0.611973,0.6867364,0.8039049166666666,0.709824,0.5287689999999999,0.0,0.78424,0.0,0.743296,0.0,0.9277989999999999
52,Best Western Hartford Hotel & Suites,0.6039095000000001,0.5967065,0.7411770877192982,0.5970476666666666,0.694470411764706,0.8488768148148149,0.7060782142857142,0.0,0.0,0.7051937500000001,0.525379,0.8705468333333334,0.8588365999999998,0.7946016666666668
53,Best Western Holiday Hills,0.0,0.0,0.7677532909090907,0.5388803333333333,0.6873529,0.8588101,0.7655119999999999,0.0,0.0,0.804961962962963,0.0,0.8555,0.8809465000000001,0.6816989999999999
54,Best Western Hospitality Hotel and Suites,0.603081,0.5674980000000001,0.7178724634146341,0.6114854615384615,0.6947649512195123,0.7728313684210526,0.7776477000000002,0.687545,0.5716414999999999,0.7583563076923076,0.573385,0.8448001249999999,0.9217144285714286,0.8175335
55,Best Western Hotel De Neuville,0.543629,0.718356,0.7459482352941174,0.6253353333333334,0.7142580666666667,0.8435231052631579,0.7731659090909091,0.0,0.0,0.7580101000000001,0.0,0.881749,0.8752773333333334,0.799852
